Provincia;Región;Casos
Buenos Aires;Centro;10383
Ciudad Autónoma de Buenos Aires;Centro;9294
Córdoba;Centro;6402
Entre Ríos;Centro;1070
Santa Fe;Centro;5191
Mendoza;Cuyo;26
San Juan;Cuyo;70
San Luis;Cuyo;108
Chaco;NEA;3787
Corrientes;NEA;3366
Formosa;NEA;1093
Misiones;NEA;4930
Catamarca;NOA;1247
Jujuy;NOA;4749
La Rioja;NOA;1612
Salta;NOA;6723
Santiago del Estero;NOA;958
Tucumán;NOA;6113
Chubut;Sur;17
La Pampa;Sur;23
Neuquén;Sur;32
Río Negro;Sur;23
Santa Cruz;Sur;30
Tierra del Fuego;Sur;16